Track,Artist,Release Date,Spotify Streams,Spotify Popularity,YouTube Views,TikTok Views,danceability,energy,valence,tempo,loudness,acousticness,speechiness,instrumentalness,liveness,track_genre,explicit,popularity,year
Light Switch,Charlie Puth,1/19/2022,593554969.0,67.0,"284,499,511","4,729,678,365",0.69,0.626,0.912,184.009,-5.693,0.105,0.306,0.000335,0.0881,dance,False,77,2022
Freaks,Surf Curse,5/15/2021,1089328286.0,77.0,"256,738,121","2,110,692",0.345,0.941,0.407,179.626,-9.918,3.84e-05,0.0466,0.633,0.0511,indie-pop,False,86,2021
Breaking the Habit,Linkin Park,4/12/2024,428629823.0,,,,0.579,0.849,0.581,100.021,-5.218,0.108,0.0303,0.0,0.0909,alternative,False,71,2024
Normal,Feid,7/8/2022,724772954.0,76.0,"395,704,504","237,386,912",0.709,0.56,0.541,170.082,-4.867,0.034,0.171,0.0,0.315,latin,True,6,2022
Youngblood,5 Seconds of Summer,4/12/2018,1790579305.0,76.0,"792,369,989","81,167,209",0.596,0.854,0.152,120.274,-5.114,0.0169,0.463,0.0,0.124,dance,False,81,2018
Sweater Weather,The Neighbourhood,1/1/2012,2916412507.0,85.0,"1,648,485,745","2,911,383,718",0.612,0.807,0.398,124.053,-2.81,0.0495,0.0336,0.0177,0.101,alt-rock,False,93,2012
Felices los 4,Maluma,4/21/2017,932817713.0,68.0,"2,349,558,424","177,718,441",0.766,0.756,0.716,94.027,-5.861,0.213,0.132,0.0,0.349,latino,False,74,2017
Human,Rag'n'Bone Man,7/21/2016,1013083048.0,74.0,"1,900,272,147","1,070,508,080",0.602,0.707,0.554,75.087,-4.097,0.393,0.302,0.0,0.165,soul,False,78,2016
Fancy Like,Walker Hayes,6/4/2021,328697441.0,66.0,"174,775,864","2,074,178,281",0.647,0.765,0.855,79.994,-6.459,0.111,0.06,0.0,0.315,country,False,77,2021
LALISA,LISA,9/10/2021,502655066.0,73.0,"900,358,198","1,612,602,199",0.804,0.652,0.854,150.076,-6.282,0.0267,0.0898,0.000782,0.118,k-pop,False,73,2021
Levitating,Dua Lipa,3/27/2020,946842175.0,73.0,"39,855,160","4,779,580,212",0.695,0.884,0.914,103.014,-2.278,0.0561,0.0753,0.0,0.213,dance,False,84,2020
Demons,Imagine Dragons,1/1/2012,2270796677.0,80.0,"1,738,647,396","296,361,891",0.505,0.71,0.428,89.938,-3.015,0.19,0.0321,0.00025,0.269,rock,False,84,2012
ZOOM,Jessi,4/13/2022,166161044.0,61.0,"303,569,838","9,393,168,416",0.874,0.6,0.457,100.012,-6.064,0.00942,0.158,0.0,0.126,k-pop,False,78,2022
In A Minute,Lil Baby,4/7/2022,171118535.0,57.0,"238,335,324","191,118,526",0.643,0.605,0.145,84.216,-5.968,0.0336,0.297,0.0,0.112,hip-hop,True,0,2022
Counting Stars,OneRepublic,1/1/2013,2466006842.0,81.0,"304,524,339","1,245,061,983",0.664,0.705,0.477,122.016,-4.972,0.0654,0.0382,0.0,0.118,piano,False,83,2013
Sobrio,Maluma,7/8/2021,600199930.0,64.0,"743,954,914","254,681,143",0.762,0.77,0.631,177.998,-2.758,0.138,0.223,0.0,0.15,latino,False,81,2021
no tears left to cry,Ariana Grande,4/20/2018,1331371819.0,71.0,"1,426,855,223","219,920,452",0.699,0.713,0.354,121.993,-5.507,0.04,0.0594,3.11e-06,0.294,dance,False,78,2018
Crawling,Linkin Park,4/12/2024,570290910.0,,,,0.58,0.702,0.299,105.076,-5.565,0.0466,0.0337,3.2e-06,0.536,alternative,False,76,2024
Summer,Calvin Harris,1/1/2014,1497564072.0,81.0,"1,989,930,606","1,214,191,679",0.596,0.856,0.743,127.949,-3.556,0.0211,0.0346,0.0178,0.141,electro,False,82,2014
Bad Liar,Imagine Dragons,11/6/2018,1056929910.0,74.0,"908,433,462","2,058,078,137",0.383,0.637,0.0827,177.913,-6.993,0.0722,0.0703,0.0,0.368,rock,False,81,2018
Tacones Rojos,Sebastian Yatra,10/22/2021,641756842.0,68.0,"558,812,868","855,230,861",0.748,0.856,0.927,123.031,-3.517,0.0824,0.0348,0.0,0.142,reggae,False,0,2021
Whatever It Takes,Imagine Dragons,5/9/2017,1257258072.0,76.0,"1,192,880,501","340,416,328",0.672,0.655,0.556,134.945,-5.021,0.0362,0.0311,0.0,0.117,rock,False,81,2017
No Role Modelz,J. Cole,12/9/2014,2235160830.0,81.0,"656,310,159","885,273,359",0.69,0.521,0.494,100.028,-8.492,0.324,0.339,0.0,0.0534,hip-hop,True,88,2014
A Thousand Years,Christina Perri,10/18/2011,1654956613.0,77.0,"2,989,286,684","8,594,414,469",0.421,0.407,0.161,139.028,-7.445,0.309,0.0267,0.000961,0.11,dance,False,81,2011
Call Me Maybe,Carly Rae Jepsen,1/1/2012,1394048309.0,77.0,"2,007,334,200","367,016,981",0.783,0.58,0.66,120.021,-6.548,0.0114,0.0408,2.28e-06,0.108,electro,False,80,2012
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Amy Winehouse,4/12/2024,562814594.0,,,,0.772,0.371,0.684,96.574,-5.743,0.744,0.0348,0.0,0.167,british,False,75,2024
One Side,Iyanya,9/15/2022,23823099.0,53.0,"75,987,807","1,004,679,876",0.815,0.755,0.763,102.978,-5.678,0.749,0.0498,0.0673,0.112,dancehall,False,59,2022
Photograph,Ed Sheeran,1/1/2013,2525355904.0,77.0,"1,884,843,329","4,406,781,129",0.614,0.379,0.201,107.989,-10.48,0.607,0.0476,0.000464,0.0986,pop,False,85,2013
At My Worst,Pink Sweat$,7/17/2020,670245273.0,64.0,"537,033,479","1,736,930,175",0.813,0.415,0.667,91.921,-5.926,0.777,0.0349,0.0,0.131,chill,False,74,2020
She Had Me At Heads Carolina,Cole Swindell,4/8/2022,244709550.0,69.0,"92,809,269","140,118,719",0.607,0.912,0.722,134.944,-3.449,0.124,0.0611,0.0,0.332,country,False,2,2022
happier,Olivia Rodrigo,5/21/2021,1133535049.0,79.0,"352,845,171","3,266,081,830",0.395,0.443,0.338,168.924,-9.72,0.765,0.133,9.67e-06,0.0839,pop,True,86,2021
BOP,DaBaby,9/27/2019,820923123.0,68.0,"661,665,888","129,969,428",0.77,0.786,0.837,126.764,-3.909,0.189,0.368,0.0,0.129,hip-hop,True,0,2019
Arcade,Duncan Laurence,3/7/2019,1184536529.0,69.0,"439,603,979","6,956,515,458",0.45,0.329,0.266,71.884,-12.603,0.818,0.0441,0.00109,0.135,pop,False,80,2019
BUTTERFLY EFFECT,Travis Scott,1/1/2017,1388024799.0,79.0,"583,707,677","236,970,860",0.763,0.628,0.193,140.958,-5.85,0.0531,0.05,0.0,0.114,house,False,79,2017
Yo Perreo Sola,Bad Bunny,2/29/2020,745086450.0,67.0,"818,482,247","1,133,216,780",0.86,0.758,0.453,97.014,-5.16,0.021,0.0695,6.54e-05,0.344,latino,False,79,2020
Take You Dancing,Jason Derulo,7/22/2020,716319941.0,65.0,"460,154,791","1,506,051,452",0.789,0.711,0.753,112.985,-4.248,0.0332,0.041,0.0,0.0876,dance,False,78,2020
Me Fui de Vacaciones,Bad Bunny,5/6/2022,366872354.0,68.0,"146,768,761","1,794,129,686",0.714,0.645,0.434,85.046,-5.493,0.229,0.0514,0.00083,0.0942,latino,False,85,2022
Counting stars,OneRepublic,8/4/2014,,,"4,069,201,723",,0.664,0.705,0.477,122.016,-4.972,0.0654,0.0382,0.0,0.118,piano,False,83,2014
Take My Breath - Single Version,The Weeknd,8/5/2021,465348362.0,57.0,"218,889,957","224,955,330",0.747,0.739,0.523,120.996,-6.008,0.0106,0.0487,2.22e-05,0.101,pop,False,0,2021
Ride,Twenty One Pilots,5/12/2015,1724766252.0,79.0,"1,832,805,733","515,516,585",0.645,0.713,0.566,74.989,-5.355,0.00835,0.0393,0.0,0.113,rock,False,82,2015
Physical,Dua Lipa,1/30/2020,967029446.0,71.0,"570,687,048","430,832,681",0.647,0.844,0.746,146.967,-3.756,0.0137,0.0457,0.000658,0.102,dance,False,0,2020
Pumped Up Kicks,Foster The People,1/1/2010,1791778314.0,81.0,"599,930,123","2,757,623,631",0.733,0.71,0.965,127.975,-5.849,0.145,0.0292,0.115,0.0956,indie,False,84,2010
Lose You To Love Me,Selena Gomez,10/23/2019,1222228366.0,72.0,"569,150,755","519,924,812",0.516,0.342,0.0993,102.819,-8.985,0.55,0.0425,0.0,0.21,dance,False,1,2019
Green Green Grass,George Ezra,3/22/2022,300430813.0,69.0,"103,550,086","3,375,488,113",0.685,0.738,0.8,112.972,-4.413,0.0695,0.0595,0.0,0.128,folk,False,75,2022
Neverita,Bad Bunny,5/6/2022,831868563.0,73.0,"181,498,962","985,066,343",0.876,0.498,0.428,122.016,-7.511,0.0706,0.0478,0.0,0.143,latin,False,93,2022
Infinity,Jaymes Young,6/23/2017,1059940209.0,74.0,"569,314,714","22,241,102,823",0.671,0.673,0.494,121.963,-6.941,0.148,0.0444,5.29e-05,0.304,pop,False,85,2017
Numb Little Bug,Em Beihold,1/28/2022,360584207.0,66.0,"41,254,765","667,895,022",0.742,0.527,0.638,84.974,-6.892,0.327,0.0769,0.0,0.25,singer-songwriter,False,78,2022
I Like Me Better,Lauv,5/19/2017,1784308411.0,75.0,"837,720,618","886,160,801",0.752,0.505,0.419,91.97,-7.621,0.535,0.253,2.55e-06,0.104,dance,False,83,2017
Papercut,Linkin Park,4/12/2024,497285757.0,,,,0.524,0.939,0.661,150.184,-3.994,0.00022,0.113,0.0,0.623,alternative,False,75,2024
Hello,Adele,10/23/2015,1550553401.0,68.0,"347,935,820","707,793,848",0.578,0.43,0.288,78.991,-6.134,0.33,0.0305,0.0,0.0854,british,False,74,2015
N95,Kendrick Lamar,5/13/2022,426936498.0,74.0,"124,386,115","186,922,543",0.79,0.67,0.408,139.956,-5.527,0.377,0.105,2.32e-06,0.119,hip-hop,True,83,2022
Gucci Gang,Lil Pump,8/31/2017,648757330.0,55.0,"1,402,505,864","243,585,831",0.936,0.523,0.699,119.889,-6.71,0.239,0.0597,0.0,0.117,emo,True,64,2017
Scars To Your Beautiful,Alessia Cara,11/13/2015,1422563654.0,71.0,"710,718,042","736,544,909",0.319,0.739,0.449,194.169,-5.74,0.0285,0.272,0.0,0.111,dance,False,74,2015
Forever After All,Luke Combs,10/23/2020,472886929.0,70.0,"247,466,941","454,676,514",0.487,0.65,0.456,151.964,-5.195,0.191,0.0253,0.0,0.0933,country,False,79,2020
Riptide,Vance Joy,1/1/2013,2541833602.0,80.0,"533,440,453","3,108,986,398",0.484,0.731,0.51,101.654,-6.694,0.431,0.0379,0.0,0.151,folk,False,82,2013
The Night We Met,Lord Huron,2/9/2015,2097181065.0,84.0,"807,672,690","1,722,597,041",0.544,0.369,0.102,87.01,-9.514,0.969,0.038,0.279,0.639,folk,False,83,2015
LOVE DIVE,IVE,4/5/2022,397988770.0,69.0,"583,304,882","1,878,718,115",0.703,0.709,0.538,117.941,-4.169,0.00379,0.0433,5.43e-05,0.333,k-pop,False,85,2022
Lovesick Girls,BLACKPINK,10/2/2020,561712007.0,65.0,"959,285,337","694,367,550",0.658,0.732,0.409,127.995,-4.762,0.00513,0.0654,0.0,0.13,k-pop,False,73,2020
Fall In Love,Bailey Zimmerman,2/11/2022,262185115.0,71.0,"121,592,933","149,251,921",0.524,0.643,0.397,135.962,-6.055,0.451,0.0297,0.0,0.221,country,False,1,2022
Waiting For Love,Avicii,1/1/2015,1397975653.0,74.0,"1,701,608,739","154,837,616",0.579,0.736,0.613,127.999,-3.863,0.31,0.0527,0.0,0.198,dance,False,81,2015
Heather,Conan Gray,3/20/2020,1675083208.0,80.0,"138,807,824","755,895,289",0.357,0.425,0.27,102.078,-7.301,0.584,0.0333,0.0,0.322,pop,False,87,2020
TV,Billie Eilish,7/21/2022,572602278.0,76.0,"115,201,405","104,843,270",0.412,0.236,0.119,140.214,-15.159,0.83,0.0379,0.00653,0.147,pop,False,8,2022
Take Me to Church,Hozier,9/16/2013,2544489950.0,78.0,"1,690,342,490","261,203,495",0.566,0.664,0.437,128.945,-5.303,0.634,0.0464,0.0,0.116,singer-songwriter,False,83,2013
It's You,Ali Gatie,6/14/2019,1123039235.0,72.0,"763,620,890","590,573,342",0.732,0.463,0.397,95.971,-6.972,0.374,0.0287,0.0,0.194,hip-hop,False,80,2019
Venom - Music From The Motion Picture,Eminem,8/31/2018,788282679.0,68.0,"872,454,191","5,580,305,533",0.75,0.789,0.467,135.954,-5.058,0.0148,0.0647,0.0,0.501,hip-hop,True,74,2018
Oh My God,Adele,11/19/2021,562200390.0,68.0,"175,552,661","324,045,421",0.534,0.725,0.55,88.098,-3.906,0.091,0.046,0.0,0.0264,british,False,82,2021
Leave Out All The Rest,Linkin Park,4/12/2024,270590102.0,,,,0.514,0.637,0.18,80.401,-6.418,0.213,0.0363,2.24e-06,0.389,alternative,False,55,2024
The Feels,TWICE,10/1/2021,431638330.0,66.0,"564,641,494","2,323,894,242",0.808,0.903,0.922,120.044,-2.179,0.0899,0.0729,0.0,0.0816,k-pop,False,78,2021
Someone Like You,Adele,1/18/2011,1925879064.0,75.0,"759,564,393","401,049,702",0.556,0.319,0.294,135.187,-8.251,0.893,0.0281,0.0,0.0996,british,False,81,2011
Boss Bitch,Doja Cat,1/23/2020,878349171.0,70.0,"522,643,821","3,582,425,112",0.707,0.955,0.575,125.993,-4.593,0.127,0.222,0.0,0.203,dance,False,0,2020
the remedy for a broken heart (why am I so in love),XXXTENTACION,3/16/2018,959078765.0,69.0,"402,582,220","955,370,530",0.699,0.304,0.271,119.705,-11.192,0.779,0.0993,0.000993,0.137,emo,True,79,2018
'Til You Can't,Cody Johnson,6/11/2021,258769609.0,68.0,"145,224,400","116,117,655",0.501,0.815,0.46,160.087,-4.865,0.0513,0.0436,0.0,0.106,country,False,1,2021
The Spectre,Alan Walker,9/15/2017,428110164.0,67.0,"1,517,036,583","1,924,971,468",0.654,0.711,0.198,127.957,-7.437,0.0214,0.0383,0.00191,0.0903,electro,False,72,2017
Ferxxo 100,Feid,6/3/2022,444613276.0,73.0,"328,723,503","179,088,549",0.705,0.562,0.569,163.893,-3.378,0.257,0.0674,0.0,0.137,latin,False,4,2022
Shower,Becky G,1/1/2014,809840469.0,73.0,"550,108,518","2,999,189,391",0.699,0.529,0.121,119.987,-7.548,0.0317,0.0487,3.59e-05,0.285,dance,False,78,2014
Control,Zoe Wees,3/13/2020,457848626.0,66.0,"246,089,222","1,783,816,089",0.599,0.465,0.0678,113.82,-4.95,0.643,0.0314,1.57e-06,0.149,german,False,77,2020
My Head & My Heart,Ava Max,9/18/2020,518293446.0,69.0,"312,305,062","76,367,154",0.614,0.934,0.436,116.001,-3.709,0.0697,0.07,0.0,0.121,dance,False,0,2020
After Hours,The Weeknd,2/19/2020,942637026.0,75.0,"335,729,967","663,247,978",0.651,0.567,0.138,108.953,-5.941,0.0934,0.0317,0.00991,0.124,pop,False,0,2020
Pompeii,Bastille,1/1/2013,1590278292.0,71.0,"892,426,661","587,669,621",0.68,0.711,0.571,127.436,-6.371,0.0918,0.0414,0.0,0.241,rock,False,1,2013
Hold On,Justin Bieber,3/5/2021,749776475.0,65.0,"255,815,308","250,017,692",0.658,0.634,0.29,139.98,-5.797,0.0106,0.0413,0.0,0.132,pop,False,0,2021
cardigan,Taylor Swift,7/24/2020,1307283069.0,80.0,"250,157,022","2,941,268,049",0.612,0.58,0.534,130.045,-8.572,0.525,0.0419,0.000414,0.26,pop,False,0,2020
KICK BACK,Kenshi Yonezu,10/12/2022,360816226.0,70.0,"171,459,970","1,353,881,739",0.577,0.941,0.292,101.921,-5.17,0.00207,0.105,3.36e-06,0.0891,anime,False,83,2022
Just the Way You Are,Bruno Mars,7/20/2010,2099862852.0,79.0,"2,218,318,671","411,934,018",0.635,0.841,0.424,109.021,-5.379,0.0134,0.0422,0.0,0.0622,dance,False,82,2010
"How Far I'll Go - From ""Moana""",Alessia Cara,10/28/2016,740261910.0,58.0,"341,087,439","26,579,876",0.309,0.544,0.16,180.979,-9.621,0.155,0.352,0.000265,0.0727,electro,False,66,2016
we fell in love in october,girl in red,1/1/2018,1034272727.0,77.0,"235,190,444","2,226,783,393",0.566,0.366,0.237,129.96,-12.808,0.113,0.028,0.181,0.155,indie-pop,False,80,2018
Sorry Not Sorry,Demi Lovato,7/11/2017,1156601592.0,67.0,"782,935,937","278,587,450",0.705,0.643,0.884,143.944,-6.929,0.0242,0.232,0.0,0.262,dance,True,0,2017
Sex Sounds,Lil Tjay,10/11/2019,413974601.0,69.0,"157,947,172","438,050,984",0.857,0.427,0.366,130.033,-8.638,0.281,0.112,0.0,0.108,r-n-b,True,76,2019
Centuries,Fall Out Boy,9/9/2014,1184571362.0,75.0,"829,829,470","254,037,168",0.393,0.858,0.56,176.042,-2.868,0.00359,0.0729,0.0,0.102,emo,False,80,2014
What Makes You Beautiful,One Direction,1/1/2011,1265397717.0,80.0,"1,864,674,236","437,246,025",0.726,0.787,0.888,124.99,-2.494,0.009,0.0737,0.0,0.0596,pop,False,84,2011
Beautiful Crazy,Luke Combs,5/4/2018,828103564.0,77.0,"594,679,967","122,040,522",0.551,0.402,0.382,103.313,-7.431,0.676,0.0262,0.0,0.0928,country,False,80,2018
Lover,Taylor Swift,8/16/2019,1413268808.0,81.0,"492,503,095","921,980,357",0.359,0.543,0.453,68.505,-7.582,0.492,0.0915,1.57e-05,0.118,pop,False,0,2019
Follow You,Imagine Dragons,3/12/2021,412887321.0,65.0,"186,582,105","155,388,095",0.542,0.732,0.489,124.912,-5.956,0.00209,0.0521,7.92e-05,0.496,rock,False,2,2021
Body Like A Back Road,Sam Hunt,2/1/2017,874864898.0,66.0,"340,287,969","12,493,072",0.732,0.458,0.661,98.942,-7.225,0.447,0.0311,0.0,0.136,country,False,0,2017
Set Fire to the Rain,Adele,1/1/2011,1595514674.0,77.0,"959,699,985","3,469,644,756",0.603,0.67,0.446,107.993,-3.882,0.00408,0.0249,1.68e-06,0.112,british,False,80,2011
Worth It,Fifth Harmony,1/1/2014,815946405.0,67.0,"2,318,717,784","1,277,991,912",0.858,0.78,0.602,99.984,-3.739,0.0478,0.0738,5.72e-05,0.133,dance,False,64,2014
2 Be Loved (Am I Ready),Lizzo,7/15/2022,335194737.0,62.0,"63,109,208","1,189,348,894",0.721,0.769,0.915,155.932,-4.111,0.0922,0.105,0.0,0.0817,hip-hop,False,3,2022
Shut Up and Dance,WALK THE MOON,11/20/2011,1690450389.0,81.0,"679,433,670","201,004,524",0.578,0.866,0.619,128.038,-3.804,0.00701,0.0619,0.0,0.257,alt-rock,False,83,2011
this is what falling in love feels like,JVKE,9/3/2021,477620800.0,72.0,"149,501,582","2,841,508,008",0.422,0.44,0.332,128.934,-5.53,0.617,0.0544,0.0,0.0837,indie-pop,False,73,2021
Firework,Katy Perry,1/1/2010,1065375074.0,67.0,"1,634,743,568","686,049,802",0.637,0.867,0.652,124.069,-3.686,0.143,0.05,0.0,0.11,dance,False,1,2010
When You're Gone,Shawn Mendes,3/31/2022,323292046.0,71.0,"65,239,480","190,197,488",0.605,0.713,0.603,147.166,-5.865,0.0203,0.0381,0.0,0.548,dance,False,0,2022
Runaway,AURORA,2/7/2015,884816583.0,70.0,"959,919,759","6,276,979,194",0.422,0.302,0.123,114.089,-9.214,0.629,0.0372,7.83e-05,0.104,pop,False,79,2015
Die For You,The Weeknd,11/25/2016,2265551950.0,74.0,"117,456,314","879,722,331",0.582,0.525,0.51,133.249,-7.163,0.111,0.0627,0.0,0.134,pop,False,88,2016
Into You,Ariana Grande,4/1/2016,1368497471.0,72.0,"1,149,519,353","340,034,199",0.623,0.734,0.372,107.853,-5.95,0.0162,0.107,1.9e-06,0.145,dance,False,76,2016
Thousand Miles,The Kid LAROI,4/22/2022,299159279.0,65.0,"77,821,012","393,771,352",0.376,0.657,0.203,80.565,-4.658,0.0858,0.0768,0.0,0.0884,hip-hop,True,81,2022
Life Goes On,BTS,11/20/2020,717715448.0,70.0,"640,225,413","1,177,171,729",0.566,0.716,0.45,81.068,-5.733,0.00691,0.0424,0.0,0.37,k-pop,False,79,2020
One Call Away,Charlie Puth,8/21/2015,833094374.0,69.0,"975,631,232","730,041,228",0.667,0.613,0.472,91.024,-5.353,0.4,0.0345,0.0,0.115,dance,False,0,2015
Suavemente,Soolking,2/22/2022,159676691.0,59.0,"328,647,215","535,066,055",0.865,0.682,0.508,140.052,-4.563,0.284,0.0548,0.00445,0.0422,french,False,74,2022
Locked Out Of Heaven,Bruno Mars,1/1/2012,2004657631.0,83.0,"1,400,581,749","91,255,671",0.726,0.698,0.867,143.994,-4.165,0.049,0.0431,0.0,0.309,dance,False,87,2012
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,7/24/2015,1532640437.0,6.0,"2,536,191,191",,0.262,0.606,0.275,189.857,-6.646,0.247,0.0484,0.0,0.125,dance,False,79,2015
Not Afraid,Eminem,5/3/2010,1012914789.0,74.0,"2,040,135,706","1,528,287,223",0.855,0.954,0.668,114.635,-1.19,0.529,0.264,0.0,0.205,hip-hop,True,81,2010
Bad Romance,Lady Gaga,1/1/2009,1229109018.0,77.0,"2,049,116,263","687,368,332",0.695,0.921,0.714,119.007,-3.752,0.00314,0.0363,5.26e-05,0.0842,dance,True,0,2009
Apocalypse,Cigarettes After Sex,3/21/2017,1305189811.0,82.0,"237,610,293","435,331,773",0.37,0.467,0.182,94.485,-9.013,0.0205,0.0273,0.572,0.109,ambient,False,84,2017
Next Thing You Know,Jordan Davis,8/12/2022,233212999.0,71.0,"8,294,089","228,973,807",0.557,0.597,0.414,78.526,-8.296,0.646,0.048,0.0,0.0974,country,False,75,2022
Habits (Stay High),Tove Lo,3/15/2013,919756735.0,69.0,"1,690,599,219","685,728,708",0.688,0.719,0.406,110.014,-3.402,0.0415,0.0354,5.63e-05,0.0921,electro,False,0,2013
God's Country,Blake Shelton,3/29/2019,367775924.0,62.0,"312,724,268","1,035,596,168",0.537,0.754,0.212,139.986,-5.102,0.0586,0.0399,4.8e-06,0.118,country,False,0,2019
Alone,Alan Walker,1/1/2016,738909649.0,70.0,"1,695,861,663","388,592,360",0.673,0.914,0.183,97.021,-3.962,0.229,0.0496,0.000478,0.186,electro,False,74,2016
IDOL,BTS,8/24/2018,458842811.0,65.0,"1,476,805,343","664,328,364",0.733,0.855,0.42,126.035,-3.211,0.00481,0.118,0.0,0.123,k-pop,False,75,2018
Betty (Get Money),Yung Gravy,6/10/2022,262402978.0,59.0,"68,754,110","2,904,979,024",0.723,0.772,0.58,102.004,-6.784,0.00524,0.0792,1.15e-05,0.367,hip-hop,False,87,2022
The Nights,Avicii,11/20/2011,1780761618.0,79.0,"1,147,006,109","3,389,115,337",0.527,0.835,0.654,125.983,-5.298,0.0166,0.0433,0.0,0.249,dance,False,86,2011
Run,OneRepublic,5/5/2021,567806129.0,70.0,"99,979,912","228,981,445",0.682,0.72,0.673,117.003,-8.173,0.326,0.0381,0.0,0.148,piano,False,0,2021
Without Me,Eminem,8/4/2016,2146682342.0,,"1,938,496,621",,0.908,0.669,0.662,112.238,-2.827,0.00286,0.0738,0.0,0.237,hip-hop,True,88,2016
Vete,Bad Bunny,11/21/2019,991885224.0,64.0,"600,051,690","76,307,093",0.886,0.672,0.526,91.976,-4.394,0.0363,0.188,8.78e-06,0.101,latino,True,79,2019
Que Tire Pa Lante,Daddy Yankee,10/18/2019,375589989.0,59.0,"1,084,403,143","223,724,566",0.658,0.901,0.708,93.979,-2.814,0.0478,0.0357,0.0,0.12,latino,False,69,2019
ANTIFRAGILE,LE SSERAFIM,10/17/2022,458713465.0,70.0,"263,768,312","1,964,836,293",0.882,0.797,0.824,105.025,-3.299,0.0821,0.0819,0.0,0.113,k-pop,False,77,2022
I Hope,Gabby Barrett,1/25/2019,399778802.0,66.0,"271,330,319","109,246,978",0.466,0.536,0.377,75.998,-6.227,0.0951,0.0429,0.0,0.114,country,False,74,2019
TOMBOY,(G)I-DLE,3/14/2022,286016224.0,67.0,"496,270,574","232,860,888",0.755,0.87,0.645,124.032,-2.414,0.00988,0.0936,0.0,0.0917,k-pop,False,80,2022
Hold On,Chord Overstreet,2/3/2017,847578246.0,73.0,"817,730,890","1,343,189,392",0.618,0.443,0.167,119.949,-9.681,0.469,0.0526,0.0,0.0829,acoustic,False,82,2017
bury a friend,Billie Eilish,1/30/2019,1014870547.0,68.0,"574,257,361","1,519,293,340",0.887,0.388,0.205,120.035,-14.505,0.739,0.349,0.143,0.106,electro,False,5,2019
double take,Dhruv,5/24/2019,826685494.0,76.0,"353,174,602","4,653,743,727",0.456,0.437,0.209,108.678,-11.156,0.839,0.0867,0.0,0.218,chill,False,75,2019
5 Foot 9,Tyler Hubbard,5/20/2022,193680404.0,65.0,"893,876","161,738,459",0.602,0.796,0.53,106.005,-5.609,0.146,0.0465,0.0,0.125,country,False,1,2022
Animals,Maroon 5,11/20/2011,1365755853.0,74.0,"1,285,233,400","694,003,171",0.279,0.742,0.328,189.868,-6.46,0.000185,0.0898,0.0,0.593,pop,False,70,2011
DNA,BTS,9/18/2017,632727904.0,63.0,"1,758,381,885","537,359,844",0.599,0.775,0.696,129.817,-4.018,0.0217,0.0543,0.0,0.0678,k-pop,False,73,2017
EL BARCO,KAROL G,3/25/2021,304116211.0,72.0,"692,863,553","184,413,760",0.85,0.847,0.915,143.975,-3.435,0.606,0.0435,0.000159,0.33,reggae,False,3,2021
Fingers Crossed,Lauren Spencer Smith,1/5/2022,437029775.0,67.0,"60,320,365","261,236,772",0.56,0.473,0.441,109.414,-7.23,0.618,0.0533,0.0,0.31,singer-songwriter,False,81,2022
How Far I'll Go,Auli'i Cravalho,11/18/2016,611088459.0,67.0,"1,505,578,850","149,410,833",0.571,0.307,0.108,83.72,-10.958,0.649,0.0499,0.0,0.178,disney,False,49,2016
Hecha Pa' Mi,Boza,7/31/2020,627556563.0,67.0,"315,121,318","829,202,200",0.725,0.756,0.828,100.07,-5.013,0.362,0.0572,0.000685,0.103,latino,False,75,2020
Calling My Spirit,Kodak Black,11/30/2018,298721490.0,59.0,"162,438,129","13,981,094",0.918,0.362,0.744,120.007,-9.943,0.116,0.0905,0.0,0.263,hip-hop,False,0,2018
Everybody Dies In Their Nightmares,XXXTENTACION,8/25/2017,1590659204.0,77.0,"567,076,854","616,913,553",0.734,0.57,0.689,129.953,-7.066,0.847,0.133,2.14e-05,0.112,emo,True,85,2017
Ho Hey,The Lumineers,1/1/2012,1273869800.0,76.0,"370,952,126","172,101,115",0.682,0.471,0.421,79.907,-9.182,0.765,0.0301,0.0,0.0908,folk,False,79,2012
Bijlee Bijlee,Harrdy Sandhu,10/30/2021,185690034.0,62.0,"653,915,314","52,219,515",0.795,0.67,0.643,100.004,-5.313,0.269,0.143,0.0,0.0733,pop,False,74,2021
Diamonds,Sam Smith,9/17/2020,411109963.0,58.0,"205,575,225","254,269,639",0.653,0.667,0.556,104.181,-6.764,0.154,0.0423,0.0,0.107,dance,False,3,2020
Do I Wanna Know?,Arctic Monkeys,1/1/2013,2188592950.0,81.0,"457,550,865","71,629,637",0.548,0.532,0.405,85.03,-7.596,0.186,0.0323,0.000263,0.217,garage,False,88,2013
Another Love,Tom Odell,1/1/2012,2444335468.0,83.0,"996,981,745","714,451,407",0.445,0.537,0.131,122.769,-8.532,0.695,0.04,1.65e-05,0.0944,chill,True,93,2012
As If It's Your Last,BLACKPINK,6/22/2017,594775179.0,70.0,"1,658,892,938","716,217,499",0.786,0.852,0.455,125.036,-2.687,0.0687,0.0813,0.0,0.0759,k-pop,False,77,2017
Look At Me!,XXXTENTACION,2/20/2017,1432465000.0,75.0,"529,846,128","2,685,984,395",0.763,0.726,0.349,139.059,-6.405,0.259,0.282,0.0,0.0976,emo,True,82,2017
